用户,评分,评论内容,评论时间,用户地址,cluster
j***g,5,这款机器的整体配置比较满意，内置了&ldquo;酷睿Ultra&rdquo;新型芯片，性能上完全够用，重量也在可接受范围一下，对于女生使用很友好，性价比很高的一次购物体验,2025-02-15 21:33:30,广东,0
S***5,5,爱了爱了！这款机器的整体配置比较均衡，内置了&ldquo;酷睿Ultra&rdquo;新型芯片，性能上应该三年之内都不用担心。外观上全金属机身，很有时尚气质，貌似商务机又不失灵动。拥有一块很能打的120赫兹的高刷屏幕，全尺寸大键盘，独立数字键，散热的布局在两侧和底部都有比较合理，杜比音响效果认证，最重要的是16寸大机器，整机质量能够控制在两公斤以内，水平是优秀滴,2025-02-16 22:38:28,河南,0
李***诗,5,送货快，国补换新机划算，联想做工进步了，上个本买的amd平台，用着没intel爽，这次买了小新 新一代 酷睿Ultra 5，重做了系统，体验还不错，还是32g内存够用几年了，本子做工比以前要好多了，加油！！,2025-02-09 19:21:38,四川,0
7***q,5,这个电脑开机速度还可以，整理颜色也比较高级，目前来说内存也够用，还可以拓展，唯一不好的就是感觉保险有点贵贵。其他都还好，刚刚到手，运行速度还可以，等用久了又来追评吧。&lsquo;酷睿Ultra&rsquo;的版本，听说很不错，性价比高，棒棒的。,2025-01-25 13:42:43,四川,0
世***0,5,酷睿Ultra 小新14pro 色彩确实不错，也比较轻，续航能力几个小时就要充电，和Thinkpad carbon X1不能比。 键盘手感也是thinkpad比较好，开机没多久，cpu跑到60多了，送的office打开非常卡顿，而且总是提示一些错误无法编辑。,2025-02-11 16:35:23,浙江,0
j***0,5,买的第五台联想笔记本，质量还算是可靠的。整体配置比较均衡，内置了&ldquo;酷睿Ultra&rdquo;工作娱乐足够了！金属机身，外观延续小新的整体风格，音响和散热系统比上一代有所提升，内存和硬盘三五年内应该够用了,2025-01-19 15:06:57,江苏,0
歪***呢,5,"酷睿Ultra
新办公电脑，目前使用一周，整体散热效果很好，智能应用方面做的不错，偶尔有应用卡顿。目前主要问题还是硬盘不够用，回头得加装一个固态",2025-01-19 11:34:13,四川,0
y***9,5,电脑不错，用的 酷睿Ultra 的处理器，性能强，能耗低，全金属机身，可靠耐用，选的非OLED屏幕，普通IPS更值得购买。小柿子客服不错的。,2025-02-10 10:19:29,湖南,0
u***y,5,这款电脑配置比较高，价格也算合理，运行速度快，可以说是电脑界的天花板，特别是内置的&quot;酷睿Ultra&quot;更可以说是嘎嘎滴👍👍👍,2025-02-04 09:31:09,山西,0
j***9,5,整体配置比较比较好，搭载&ldquo;酷睿Ultra&rdquo;新型CPU，运行速度快。外观上全金属机身，整体外观不错。120赫兹的高刷屏幕，全尺寸大键盘，散热的布局在两侧和底部，散热性能不错，杜比音响效果认证，整机质量不重，携带方便。,2025-01-26 14:14:44,江苏,0
臭***等,5,酷睿Ultra 5新u性能够用查询核显性能和1650一直简单娱乐无压力。外观大气做工精细之前看老款做工不佳2024款应该是升级了放心购买,2025-01-18 11:05:59,北京,0
i***n,5,国家补贴买的，用好多天才来评论。正版开机快，打开盖就能开机只需十几秒，而且这款还搭载的最新的处理器-酷睿Ultra，运行速度快，反应速度也快。字体清楚，屏幕大，电脑也不重，女孩子也适用。快递也快，隔天就收到。,2025-02-04 15:34:53,广东,0
