content,nickname,信息,信息5,creation_time,ip_address
"包装保护：非常不错几乎没有磕碰
外形外观：外观黑色显得大气上档次
画面品质：画面确实不错
总之y7000p我感觉是非常不错的体验下来非常可以",                                    黑***碟            ,16G 1TB 满血RTX4060-8G独显 标配,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-11-10,重庆
非常帅，打游戏非常流畅，这台电脑性能超强，运行飞快。屏幕高清，外观时尚。操作便捷，存储海量，堪称神器。,                                    方***3            ,32G 1TB 满血RTX4060-8G独显 升级,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-11-06,江苏
宝贝收到了，颜色简单大方，质感也很好，是我想要的!下次还会再来!商品质量一流，细节完美。材质优质，使用起来效果显著，是一款让人信赖的好产品。这次购物太满意了，商品性价比高，质量上乘。物流高效，商家服务贴心，售后无忧。,                                    j***o            ,32G 1TB 满血RTX4060-8G独显 升级,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-11-13,浙江
电脑非常好不错不错，非常值得购买建议家人们直接入手去买，现在还飞常便宜，快去买买，鼠标键盘啥的都非常好，比想象中的好，大家可以去买了，然后外观啥的也非常好看,                                    7***3            ,32G 1TB 满血RTX4060-8G独显 升级,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-11-10,山东
"包装保护：密封不错，挺好的
外形外观：简洁大方，很漂亮，好看
画面品质：清晰
运行速度：挺快的，开机速度也快
游戏效果：赞赞赞",                                    j***y            ,16G 1TB 满血RTX4060-8G独显 标配,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-11-28,吉林
"电脑非常好，性价比很高
包装保护：保护的非常好
外形外观：非常不错
画面品质：非常流畅
运行速度：非常快
游戏效果：非常不错",                                    0***x            ,16G 1TB 满血RTX4060-8G独显 标配,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-11-22,江西
第一次买，非常好，买这个想了好久才下决心，因为喜欢玩游戏看电视，最重要的是上大学专业课程需要用到，网络运行很流畅，很喜欢非常的棒棒，，很好的一次购物体验，不紧速度快，而且很好用。,                                    j***r            ,32G 1TB 满血RTX4060-8G独显 升级,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-11-07,甘肃
"包装保护：包装好 完好无损
外形外观：和描述的一样好
画面品质：画面细致真实色彩度高
游戏效果：游戏不卡，打游戏很快的",                                    j***h            ,16G 1TB 满血RTX4060-8G独显 标配,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-12-01,黑龙江
这款机型颜值还不错，整体系统很流畅。在优惠的时候购买的还是便宜了不少。虽不是京东自营店，但是京东物流送货，依然很守时，包装也很好。喜欢玩电竞的，选择这款可以。送的配件也全齐全。,                                    j***1            ,32G 1TB 满血RTX4060-8G独显 升级,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-11-11,福建
"性能强劲，运行流程，外观时尚，材质优良，散热良好
客服服务优质，物流迅速，包装严实，正品保证，性价比高，满足工作使用需求",                                    2***8            ,16G 1TB 满血RTX4060-8G独显 标配,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-12-20,上海
"包装保护：很严实 包装的蛮好的
游戏效果：还没开始玩 玩了以后在追评吧
运行速度：还可以
外形外观：特别好看
画面品质：可以",                                    j***e            ,16G 1TB 满血RTX4060-8G独显 标配,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-11-09,内蒙古
"电脑很好，显示很清晰，质感很好
包装保护：非常仔细
外形外观：好看
画面品质：显示很清晰
运行速度：运行飞快",                                    j***5            ,16G 1TB 满血RTX4060-8G独显 标配,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-12-17,四川
这电脑太给力！外观酷炫，性能超强，运行大型游戏和多任务都丝滑流畅，散热出色，屏幕清晰，堪称游戏本中的王者！,                                    这***好            ,16G 1TB 满血RTX4060-8G独显 标配,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-12-14,广西
电脑收到了，颜色很好看，很帅气，机身材质质感也非常好。系统各方面都没问题，早就想买了。物流速度很快。还送了背包鼠标等很多赠品，质量很好，很满意这次购物。,                                    j***w            ,24G 1TB 满血RTX4060-8G独显 升级,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-12-09,浙江
"货物已收到，是我最满意的一次购物体验了，心情超好，有需要了还要来这里购买
包装保护：非常完整
外形外观：美观
画面品质：超清晰
运行速度：和想象的一样
游戏效果：震撼",                                    j***n            ,32G 1TB 满血RTX4060-8G独显 升级,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-12-21,河南
笔记本很好 各项功能都很齐全 散热功能也不错 还送了鼠标跟笔记本背包 总体来说还是很不错的 值得入手,                                    j***x            ,32G 1TB 满血RTX4050-6G独显 升级,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-11-16,河北
电脑轻薄便捷，外观简洁，做工精细，性价比高。并且开机速度快，配置高，使用办公很方便，追剧、打游戏很流畅。特别是屏幕分辨率高，还有护眼屏幕，内存容量多，有固态硬盘，物有所值！,                                    j***j            ,32G 1TB 满血RTX4050-6G独显 升级,16英寸电竞屏｜2.5K｜165Hz｜高色域,2025-01-02,浙江
电脑外观什么的都挺好的 很新奇 质量也挺好的 第一次买电脑 没什么经验 第一款就入手了这个 质量都挺好的 很喜欢,                                    j***1            ,16G 1TB 满血RTX4060-8G独显 标配,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-11-12,河南
电脑用起来非常流畅，还会送office，价格实惠 包装完整 保护的很好 电脑没有磕损  用起来十分流畅,                                    5***g            ,16G 1TB 满血RTX4060-8G独显 标配,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-11-14,海外
强力推荐外观简约大方，使用起来非常舒服电脑屏幕非常清晰色彩鲜艳关于效果非常棒是我想要的下次还会再来商品质量一流细节完美材质优质使用起来效果显著是一款让人信赖的好产品,                                    j***1            ,16G 1TB 满血RTX4060-8G独显 标配,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-11-16,江苏
"包装保护：保护的很好 很喜欢
外形外观：非常漂亮 很喜欢
画面品质：非常好 很喜欢
跑分评测：非常高 很喜欢
运行速度：非常快 很喜欢
游戏效果：很流畅 很喜欢",                                    j***y            ,16G 1TB 满血RTX4060-8G独显 标配,16英寸电竞屏｜2.5K｜165Hz｜高色域,2025-01-03,河南
安全下车，这电脑是全新未拆封的，我觉得可以冲，一开始我还觉得有点害怕，但是验完机后确实是新机，很流畅，打游戏很不错售后也不错，没其他店铺敷衍。很好,                                    福***安            ,16G 1TB 满血RTX4060-8G独显 标配,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-11-28,山东
屏幕显示效果极佳，色彩鲜艳，分辨率高，非常适合设计和图像处理。机身轻薄，便于携带，续航能力也很强，基本可以满足我一天的工作需求。键盘手感很好，打字非常顺畅。,                                    u***e            ,32G 2TB 满血RTX4060-8G独显 升级,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-11-14,江苏
弟弟挑的笔记本，偶然间看到大学生电脑中排行第一，收到货后确实颜值很高，性能流畅，配置很好，非常适合大学生日常学习和办公,                                    f***s            ,16G 1TB 满血RTX4060-8G独显 标配,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-11-26,江西
新电脑到了，用起来非常流畅运行一点也不卡顿，散热方面也相当给力打游戏很棒，频幕素质也很棒，外观节简整洁很大气,                                    j***2            ,16G 1TB 满血RTX4060-8G独显 标配,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-12-24,广西
看了很多电脑品牌最后选了联想家的、电脑很流畅办公游戏都很快很方便、客服很耐心的帮我解决问题、游戏效果高画质运行流畅、隐形速度快、包装完好、没有剐蹭新机就是好无脑入,                                    j***q            ,16G 1TB 满血RTX4060-8G独显 标配,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-11-29,山东
太棒了，第一次在网上购买笔记本，性价比高，质量好发货还快，打开就迫不及待玩上了，包装完好，外观没有破损画质清晰,                                    j***0            ,16G 1TB 满血RTX4060-8G独显 标配,16英寸电竞屏｜2.5K｜165Hz｜高色域,2025-01-04,海南
"电脑运输快，安全，颜值高端，手感非常棒，开机使用不卡顿，打游戏非常流畅画质好，就是散热声刚刚好，客服服务态度好
画面品质：笔记本里面算好的
外形外观：美感不错
游戏效果：笔记本里面算好的",                                    j***o            ,32G 1TB 满血RTX4060-8G独显 升级,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-11-25,山东
商品质量非常好，外观设计新颖，物流速度快，商家服务态度好，性价比高。不管几点找客服，都有人回答你，屏幕看上去很有科技感,                                    u***6            ,32G 1TB 满血RTX4060-8G独显 升级,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-11-26,浙江
速度杠杠的，也比较美观，重量对男生来讲还行，最好再自配个电源适配器，加的内存是海康威视的，也是大品牌。,                                    j***k            ,32G 1TB 满血RTX4060-8G独显 升级,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-11-09,山东
收到啦，很不错，非常喜欢，值得购买，(*^__^*) 嘻嘻……质量好得没话说，价格公道。物流出色，商家服务热忱，售后靠谱，赞一个！强烈推荐这家店的商品，物美价廉，质量可靠。物流快，商家服务好，售后有保障。,                                    j***b            ,16G 1TB 满血RTX4060-8G独显 标配,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-11-17,新疆
已经不是一次两次买联想系列的东西了，体验感很好，包装完整，这一点很赞，其次它的包装保护的也很好，外形外观看着也很舒服，画面品质更是没的说，只能说一个字好，运行速度快，游戏体验感好，效果好,                                    8***d            ,16G 1TB 满血RTX4060-8G独显 标配,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-11-11,湖北
孩子学习需要电脑，联想大品牌，值得信赖！包装完好，保护措施完好，配置及各方面完好！分辨率也很高！孩子很喜欢！,                                    M***T            ,32G 1TB 满血RTX4060-8G独显 升级,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-12-23,辽宁
今天刚到，外观完美，画面品质也高，完全符合我心目中的游戏本，迫不及待下载了游戏玩了一会，运行非常流畅。,                                    j***0            ,16G 1TB 满血RTX4060-8G独显 标配,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-11-15,广东
"才到还在检查目前还不错东西质量非常好，与卖家描述的完全一致，非常满意，真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物。
包装保护：好
外形外观：好
画面品质：好",                                    j***y            ,16G 1TB 满血RTX4060-8G独显 标配,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-11-11,湖北
质量好，价格低，这性价比没谁了。物流飞速，商家服务优质，售后让人放心，强烈推荐！价格实惠，质量杠杠的，非常好的一次购物，下次还来宝贝物超所值，很喜欢，下次还会来的这次购物非常棒，商品性价比超高，质量出色。物流高效快捷，商家服务贴心，售后完善。,                                    j***4            ,32G 1TB 满血RTX4060-8G独显 升级,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-12-08,广东
收到笔记本电脑了，物流和配送都很快。店家包装的也很好。联想拯救者笔记本真的很好用，性能好，配置高，质量有保证。物美价廉，满意。,                                    N***n            ,16G 1TB 满血RTX4050-6G独显 标配,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-11-30,新疆
万元以内比较好的吧，外观也可以,                                    j***8            ,16G 1TB 满血RTX4060-8G独显 标配,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-05-22,湖南
未收到货前非常期待我的电脑，收到货后好喜欢，颜值很高，运行速度畅顺，性价比高，还送了鼠标和鼠标垫，背包，清洁刷之类的，很满意,                                    j***r            ,16G 1TB 满血RTX4060-8G独显 标配,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-11-10,海外
"刚刚收到货，
包装保护：保护的很好
外形外观：有些重量
画面品质：高清晰度
还未正式使用，联想大牌值得信赖！",                                    q***S            ,32G 1TB 满血RTX4060-8G独显 升级,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-11-13,河北
非常漂亮，系统也特别好用，客户非常贴心，比较有耐心，价格确实非常优惠，太好用了性价比超级高，值得信赖，吃鸡英雄火线，爽翻网速爽翻这个价格能有这配置，棒棒的。,                                    j***v            ,32G 1TB 满血RTX4060-8G独显 升级,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-12-19,江西
"包装保护：好
外形外观：好
运行速度：快
游戏效果：好
画面品质：好
物流很快，包装严实完整，电脑运行速度快，赠品很多",                                    0***z            ,32G 1TB 满血RTX4060-8G独显 升级,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-11-28,江苏
机器很好用，显卡和屏幕比旧电脑好多了。玩三国群英传和dota时，也不卡，画质也清晰。改天试试黑悟空的感觉，看看是不是很流畅。,                                    h***f            ,16G 1TB 满血RTX4060-8G独显 标配,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-11-11,北京
给女儿上大学用的，挑来挑去选了京东的这家店。物流很快，女儿说用着好用，不卡。赠了很多东西，鼠标垫，清洗剂等。,                                    8***y            ,16G 1TB 满血RTX4060-8G独显 标配,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-11-19,河北
收到东西后我非常的满意，对于这款电脑本身就是非常喜欢的，我觉得他非常的耐用，然后现在收到电脑后可以更好地使用电脑的外观使用啥的都非常的挺好的,                                    j***s            ,16G 1TB 满血RTX4060-8G独显 标配,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-11-15,湖北
"包装保护：包装的很好 物流也很快
外形外观：非常的炫酷 适合游戏党
画面品质：165hz高刷很好
运行速度：4060流畅运行所以游戏
游戏效果：很流畅",                                    r***z            ,16G 1TB 满血RTX4060-8G独显 标配,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-12-28,湖南
联想Y7000P 电脑到手，性价比非常高的一款电脑，家里的三台电脑全部都是联想的，从第一台台式机到笔记本到现在的第三台，相信联想的质量。,                                    j***n            ,32G 1TB 满血RTX4060-8G独显 升级,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-11-23,宁夏
东西很好 反应速度很快 屏幕清晰度很好 非常适合大学生购买 不论是看视频还是打游戏 这款电脑都能给到很好的体验。,                                    5***0            ,16G 1TB 满血RTX4060-8G独显 标配,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-11-12,福建
双十一做活动购买的，终于得到了心心恋恋的新款笔记本，金属质感，反应迅速，运行速度非常流产，综合表现很不错，值得入手。,                                    8***c            ,32G 1TB 满血RTX4060-8G独显 升级,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-12-12,河南
电脑收到，外观好看，大小合适，颜色好看，颜值高运行速度快，性价比高，送鼠标，送鼠标垫，送清洁用品，送电脑包，超赞👍👍👍👍，画质很清晰，加载速度也很快，超满意👍👍👍👍,                                    j***t            ,32G 1TB 满血RTX4060-8G独显 升级,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-12-19,河北
很不错啊，为了做作业需要买的，买来做渲染的，机子也不错，而且遇到不懂的，客服也很好诶，很耐心的指导，然后整体来说还是不错的,                                    j***6            ,32G 1TB 满血RTX4060-8G独显 升级,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-11-18,福建
"包装保护：看起来很完美
外形外观：很舒心很漂亮
画面品质：画面相当可以
跑分评测：跑分分数相当不错
运行速度：运行速射不错",                                    n***C            ,16G 1TB 满血RTX4060-8G独显 标配,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-12-17,内蒙古
游戏效果拉满，物流速度也很快，一天左右就到了，颜值也拉满，玩永劫一点也不卡，非常棒，大家可以推荐朋友一起来买！,                                    j***7            ,16G 1TB 满血RTX4060-8G独显 标配,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-11-29,山东
双11买的，给丫头买的，价格很实惠，发货也很快，小丫头自己就把需要的软件装好了，现在就小丫头上课可以使用，很适合美术生或者经常打游戏的人群,                                    j***Z            ,16G 1TB 满血RTX4060-8G独显 标配,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-11-15,上海
颜值真的没得说，同学推荐买这款我也做了很久的功课才入手的，画质非常的棒，开机迅速运行流畅，还送了很多东西，很喜欢。。。。,                                    风***世            ,32G 1TB 满血RTX4060-8G独显 升级,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-11-18,湖北
"包装保护：收到的包装非常严实，完全没有损坏，细节做得很到位，保护措施非常完善，整体来说可以！
外形外观：电脑外形设计简洁大方，炫酷十足
画面品质：画面品质显示清晰，色彩饱满，非常适合使用",                                    R***n            ,16G 1TB 满血RTX4060-8G独显 标配,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-12-29,广东
"包装保护：很好很值得信赖
外形外观：很漂亮美观大方
画面品质：很清晰大家可以入手
跑分评测：满分
运行速度：很快很快
游戏效果：很好很满意",                                    宇***新            ,16G 1TB 满血RTX4050-6G独显 标配,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-11-18,河南
客服很耐心，电脑特别好用，游戏都可以玩，速度很快，键盘手感超赞 整个使用感觉不输一万元的本，真正的性价比之王。,                                    1***9            ,16G 1TB 满血RTX4050-6G独显 标配,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-12-25,山东
"包装保护：很好
外形外观：很好
画面品质：很好
跑分评测：很好
运行速度：很好
游戏效果：很好
物流发送的很快，机子很新，总体而言很不错。",                                    3***4            ,16G 1TB 满血RTX4060-8G独显 标配,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-11-10,河南
"包装保护：非常满意，真的很喜欢
画面品质：很清晰、正品保证
外形外观：正品、全新未拆封未激活
运行速度：非常快",                                    j***b            ,16G 1TB 满血RTX4060-8G独显 标配,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-11-11,安徽
乘着双十一的活动终于下单了联想拯救者y7000p，一次很满意的下单，相信这台电脑会给我带来不一样的体验！,                                    j***t            ,32G 1TB 满血RTX4060-8G独显 升级,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-11-15,山东
"包装保护:很好，没有损坏
外形外观:看起来很高级，键盘用的很舒服画面品质:非常好运行速度:也很好
基本上没有任何问题，已经开机成功验机成功了，Office也激活了",                                    u***e            ,16G 1TB 满血RTX4060-8G独显 标配,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-11-14,海外
"包装保护：保护的很好
外形外观：外形炫酷
画面品质：画面好
运行速度：运行速度快
游戏效果：游戏效果好，客服服务态度好，赠品多",                                    颜***骨            ,16G 1TB 满血RTX4060-8G独显 标配,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-11-15,湖南
"包装保护：非常好，包装安全没有损坏
外形外观：好
画面品质：超级好
跑分评测：好
细节非常完美，总体来说很不错，性价比很高，下次还会继续光临👍",                                    k***n            ,32G 1TB 满血RTX4060-8G独显 升级,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-11-16,湖北
电脑质量不错。推荐购买这台电脑真的太棒了！从拿到手到现在，它的质量完全超出我的预期。无论是外壳材质还是内部硬件，都给人一种扎实可靠的感觉。使用过程中从未出现过死机、卡顿这些问题，各种软件和游戏都能轻松应对，运行十分流畅。而且它的散热也做得很好，长时间使用也不会过热。真的是一款质量过硬的好电脑，非常值得购买。,                                    c***8            ,16G 1TB 满血RTX4060-8G独显 标配,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-11-13,海外
"看了很久很久的电脑，咨询了好几个朋友，最终还是选择了这款电脑，满意这款，收到了，
包装保护：非常好
外形外观：好看",                                    X***6            ,16G 1TB 满血RTX4060-8G独显 标配,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-11-11,安徽
"包装保护：包装的很好严丝合缝。
外形外观：很完美，很喜欢这个外观
跑分评测：跑分很高
游戏效果：游戏效果很好",                                    j***5            ,16G 1TB 满血RTX4060-8G独显 标配,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-12-17,甘肃
"包装保护：保护的非常好，非常喜欢
外形外观：很好看，屏幕清晰
画面品质：画质真的不错
游戏效果：打游戏一点也不卡，非常流畅丝滑自然
总的来说非常推荐，金属外壳很好看，也能更好的保护机体，赠品也很不错，非常给力",                                    3***i            ,16G 1TB 满血RTX4060-8G独显 标配,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-12-16,辽宁
"这个电脑性价比极高，外观不错，然后手感也挺好的更其次是它的性能也非常的棒
外形外观：颜色非常的深入人心啊。
画面品质：画质挺高的",                                    h***j            ,16G 1TB 满血RTX4060-8G独显 标配,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-11-21,安徽
电脑外观很精致，配置很高，清晰度很高，看着很高级。是一款非常值得入手的游戏本，不仅游戏流畅，办公能力也非常强。,                                    j***6            ,16G 1TB 满血RTX4060-8G独显 标配,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-11-13,山西
外形外观：外观好看 大小合适 颜色好看 颜值高 轻窕不笨重 运行速度快 性价比超高 送鼠标鼠标垫 电脑包 超赞 游戏速度快 加载超快,                                    j***j            ,32G 1TB 满血RTX4060-8G独显 升级,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-11-11,辽宁
这台电脑外观简约时尚，性能强劲，运行流畅无卡顿，散热出色，屏幕清晰，无论是办公还是娱乐都表现卓越，超棒！,                                    3***l            ,16G 1TB 满血RTX4060-8G独显 标配,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-12-21,陕西
"电脑非常好，完美
包装保护：快递保护挺好
外形外观：颜值非常高，喜欢
画面品质：画质非常好
跑分评测：挺好的",                                    j***h            ,16G 1TB 满血RTX4060-8G独显 标配,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-12-17,湖北
这款产品给我留下了深刻的印象 它的配置很出色 运行起来非常流畅 它的外观设计也非常简洁 符合现代人的审美 这是一款可靠且高效的电子产品,                                    j***1            ,16G 1TB 满血RTX4060-8G独显 标配,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-11-30,四川
"宝贝收到了，颜色很好看，质感也很好，样子简
单!是我想要的!!下次还会再来!商品质量一流，细节完美。材质优质，使用起来效果显著，是一款让人信赖的好产品。这次购物太满意了，商品性价比超高，质量上乘。物流高效，商家服务贴心，售后无忧。",                                    j***d            ,32G 1TB 满血RTX4060-8G独显 升级,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-11-25,湖南
实物与描述的一样，质量相当好，卖家态度也好，有问必答，发货速度杠杠的，值得购买哦！外观精致，使用感受极佳，产品质量超出预期，物流服务也很给力，五星好评。,                                    8***5            ,16G 1TB 满血RTX4050-6G独显 标配,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-11-22,辽宁
"笔记本到货很快，实物和图片一样 两重包装箱运输电脑保护的很好，卖家客服态度棒棒，购买时咨询都及时回答，点赞！电脑到货，买电脑随的赠品还没有到，还在路上，联想专卖店品质值得信赖，笔记本电脑外观颜值＊*,画面清晰，运行也快，是孩子指定要购买的，性价比很好，值得购买，五星好评！",                                    j***3            ,16G 1TB 满血RTX4060-8G独显 标配,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-11-21,江西
"包装保护：包装的非常好
外形外观：非常符合个人的感官
画面品质：很流畅
跑分评测：挺好的挺好的非常好
运行速度：挺快的 不卡顿 看视频也很好
游戏效果：打游戏也很流畅",                                    酒***l            ,32G 1TB 满血RTX4060-8G独显 升级,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-12-28,浙江
"包装保护：特别好，非常紧实安全
外形外观：大气高端上档次
画面品质：特别清晰
跑分评测：非常好，非常棒
运行速度：很快
游戏效果：打起来特别流畅，一点也不卡",                                    克***6            ,16G 1TB 满血RTX4060-8G独显 标配,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-11-09,陕西
"包装保护：包装保护的很结实
外形外观：外形高级又酷炫
画面品质：画质非常细腻显示效果很好
游戏效果：野兽模式非常流畅不掉针
运行速度：运行速度很流畅",                                    j***m            ,16G 1TB 满血RTX4060-8G独显 标配,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-11-16,黑龙江
"包装保护:收到的包装非常严实，完全没有损坏，细节做得很到位，保护措施非常完善。整体来说非常满意!
外形外观：这款笔记本电脑的外形设计简洁大方，颜色沉稳，非常符合我的审美，搭配机械键盘更是酷炫十足!
画面品质：画面品质显示清晰，色彩饱满，非常适合日常使用和娱乐。",                                    1***4            ,16G 1TB 满血RTX4060-8G独显 标配,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-12-31,四川
"包装保护：包装非常好很细致对电脑的保护很到位
外形外观：漂亮好看大方
画面品质：非常不错
运行速度：很快
游戏效果：非常好",                                    m***q            ,32G 1TB 满血RTX4060-8G独显 升级,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-11-17,河南
宝贝收到了，颜色很好看，质感也很好，样子简单！是我想要的！!下次还会再来！商品质量一流，细节完美。材质优质，使用起来效果显著， 是一款让人信赖的好产品。这次购物太满意了，商品性价比超高，质量上乘。物流高效，商家服务贴心，售后无忧。,                                    u***4            ,32G 1TB 满血RTX4060-8G独显 升级,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-12-18,河南
"笔记本到货很快，实物和图片一样两重包装箱运
输电脑保护的很好，卖家客服态度棒棒，购买时
咨询都及时回答，点赞!电脑到货，买电脑随的
赠品还没有到，还在路上，联想专卖店品质值得
信赖，笔记本电脑外观颜值**画面清晰，运行
也快，是孩子指定要购买的，性价比很好，值得
购买，五星好评!",                                    j***C            ,16G 1TB 满血RTX4060-8G独显 标配,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-12-16,广东
"包装保护：非常好，并且完全没有损坏
外形外观：好看精致，很大气
画面品质：非常清晰，高画质
运行速度：快速",                                    j***e            ,16G 1TB 满血RTX4060-8G独显 标配,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-11-09,湖南
电脑买回来用了几天，感觉还不错，还是比较流畅，性能还是可以。外观比较好看，上网玩也不卡，质量很好。这个价位真是很超值，性价比高，运行没有一点卡顿。,                                    j***9            ,16G 1TB 满血RTX4050-6G独显 标配,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-12-05,广东
"包装保护：包装很好，很完美
外形外观：外观叶非常漂亮
运行速度：很快🤓
游戏效果：很完美
发货速度非常快，两天就到了，体验整体效果非常好，",                                    j***p            ,16G 1TB 满血RTX4050-6G独显 标配,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-11-30,云南
"包装保护：包装保护非常到位
外形外观：磨砂质感，非常舒服
画面品质：画面品质：画质非常nice， 2.5k没得说
运行速度：比我以前用的电脑快太多了
游戏效果：4060 165HZ刷新率猛的一批",                                    j***1            ,32G 2TB 满血RTX4060-8G独显 升级,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-12-10,江西
"1.电脑外观简约大方，性能强劲，使用起来非常舒适。
2.电脑屏幕非常清晰，色彩鲜艳，观影效果非常棒。
3.电脑键盘手感非常好，打字起来非常舒适，而且按键反应灵敏。
4.电脑音响效果非常出色，声音清晰，音量大，非常适合听音乐和看电影。
服务态度:好
物流速度:快
包装:好
性价比:高",                                    是***酪            ,16G 1TB 满血RTX4060-8G独显 标配,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-11-26,湖北
"外形外观：非常帅气，值得入手！
画面品质：很棒，推荐！
运行速度：好好好，特别好！
游戏效果：玩游戏很舒服，强烈推荐！",                                    司***羽            ,16G 1TB 满血RTX4060-8G独显 标配,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-11-20,甘肃
"宝贝收到了,颜色很好看，质感也很好,样子简单!是我想要的!下次还会再来!商品质量一流，细节完美。材质优质，使用起来效果显著，是一款让人信赖的好产品。",                                    l***z            ,16G 1TB 满血RTX4060-8G独显 标配,16英寸电竞屏｜2.5K｜165Hz｜高色域,2024-12-23,湖南
